"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/7/23 7:54 PM,"CNN Philippines","2811559122",,"-1","en","<a href='https://twitter.com' rel='nofollow'>TweetDeck Web App</a>","More than 20 faculty members of the UP School of Economics (UPSE) warn that the proposed Maharlika fund is 'defective' and poses 'serious risks' to the economy.

UPSE Asst. Prof. JC Punongbayan tackles their discussion paper on #TheFinalWord with @RicoHizon https://t.co/ulv5zgo95E",,,103.0,"1666413241902440448"
6/3/23 5:56 PM,"ABS-CBN News Channel","44728980",,"-1","en","<a href='https://dlvrit.com/' rel='nofollow'>dlvr.it</a>","Some netizens said they might pull out their money from Landbank, fearing the financial institution will go belly-up if he Maharlika fund fails. https://t.co/qOJ8B2nodD",,,107.0,"1664933977319419905"
6/3/23 9:00 AM,"Rappler","330826792",,"-1","en","<a href='http://www.socialflow.com' rel='nofollow'>SocialFlow</a>","'Setting up this kind of sovereign wealth fund now is also ill-timed because the global economic environment is still sour. Inflation and interest rates remain elevated, and growth is still anemic in many parts of the world.' https://t.co/SNojubXdFz https://t.co/l5qhqBIhaO",,,180.0,"1664799109713108992"
6/10/23 8:47 PM,"littleboy","158935327",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @RockyMa46760498: The Maharlika Fund shattered your earth your senses, didn't he. You disagree with the Maharlika Fund because you are u…",,,1.0,"1667513752357605377"
6/10/23 8:43 PM,"Rocky Marciano ??","1175845852998299648",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","The Maharlika Fund shattered your earth your senses, didn't he. You disagree with the Maharlika Fund because you are used to Aquino's poor band-aid solutions to the economic woes. https://t.co/tDcCVRscLa",,,1.0,"1667512829329682433"
6/10/23 8:26 PM,"Ken","1649082050807500800",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @revieslv: @DHorizonIsClear @jos3pin_ Nanalo si marcos: nagparty, relax, wala pang ginagawa, gusto ng maharlika fund",,,17.0,"1667508528037400577"
6/10/23 8:22 PM,"The Chicanoy Kid","1291769278492893184",,"-1","tl","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Bulags be like

Kung todo yawyaw ang mga Puritan laban sa Maharlika fund kesyo mauuwi lang daw ito sa korupsyon. Pero di man lang sila nag-ingay sa Pharmally, PhilHealth, at Russian Helicopter deal na napunta sa korupsyon yung buwis ng taong bayan sa panahon ni Tatay.",,,0.0,"1667507520322019328"
6/10/23 8:17 PM,"Caloy Conde ?? ?","732409356436668416",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Investing is no different from gambling. You should only invest the EXTRA money that you are willing to lose. The Maharlika fund — may extra money ba tayo? And if we lose, ok lang ba? wala bang maaapektuhan? #Yonlangyon",,,0.0,"1667506168422621184"
6/10/23 8:09 PM,"Maharlika Fund","1610238408017989633",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @cryptofemale_: ??We are honored to introduce you to Nadja Bester, the co-founder of Engage to Earn investment platform AdLunam Inc! Nad…",,,3.0,"1667504286648143872"
6/10/23 7:40 PM,"c","1596880774858706944",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","mababalikan ba ako ng ex ko sa maharlika fund na yan, HINDI.",,,0.0,"1667497015859900417"
6/10/23 7:40 PM,"mang juan","223783552","erleargonza","125851626","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@erleargonza @brotherAndy1017 So are you for maharlika fund? Why",,,0.0,"1667497008058494977"
6/10/23 7:26 PM,"iana rmt md ?","1586661596213833728",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @cleog00de: Analytes that require chilling. This mnemonics is brought to you by MAHARLIKA FUND. Good luck RMTs by August 2023. 

#rmt #m…",,,346.0,"1667493538999996418"
6/10/23 7:24 PM,"Winter","4312789394",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @cleog00de: Analytes that require chilling. This mnemonics is brought to you by MAHARLIKA FUND. Good luck RMTs by August 2023. 

#rmt #m…",,,346.0,"1667492936848908288"
6/10/23 7:11 PM,"MadeMoisElle","35821288",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Cuunjieng finds Maharlika fund problematic: It's an 'everything, everywh... https://t.co/xVY3ZV8IRg via @YouTube",,,0.0,"1667489640398610436"
6/10/23 6:45 PM,"Cristopher my mind is a big oblivion of thoughts.","3342806772",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Sa mga tao nag dududa kung bakit minamadali ang Maharlika fund mga #mongo kayo at #butil ?????????????????",,,0.0,"1667483182177083393"
6/10/23 6:11 PM,"Cristopher my mind is a big oblivion of thoughts.","3342806772",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Huwag kayo mag taka kung bakit minamadali ni BBM ang Maharlika fund duhhh. Maraming alam yan respect the ?UTOS?.",,,0.0,"1667474632902049793"
