"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/7/23 7:38 PM,"Valorant News","1232012105877983237",,"-1","en","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","Valorant pro Karel 'Twisten' Ašbrener has died, Team Vitality has confirmed. He was 19 years old. 

Rest in peace, Karel. https://t.co/JMhiUNyS6U",,,3624.0,"1666409207107661826"
6/7/23 6:08 PM,"MARUTAKE","3072099426",,"-1","ja","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","?? ??????? ?????????? ?? VC?? ???????
???????
#VALORANT https://t.co/TndpV3YDzT",,,2340.0,"1666386545857929216"
6/7/23 7:47 PM,"DEXERTO.FR","349900785",,"-1","fr","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","La Team Vitality a confirmé le décès de Karel 'Twisten' Ašenbrener, joueur pro sur Valorant. Il n'avait que 19 ans... 

RIP ? https://t.co/ofyMmzv11X",,,937.0,"1666411498753740800"
6/8/23 5:38 PM,"???","2421991970",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @JETTCLIP: /?
?JETT CLIP????????? ? ?
 \?

???????AI?VALORANT???????????????????

??????????
1. ????
????3???????AI???????
2. ????
?????…",,,441.0,"1666741588683538434"
6/8/23 5:38 PM,"???????????????????","1353157720069664768",,"-1","ja","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @hinatazaka46: ????19:00?VALORANT JAPAN??YouTube?????????????VALORANT Masters Tokyo Countdown Events?? #???? ? #???? ???????????

??????…",,,322.0,"1666741586640904193"
6/8/23 5:38 PM,"????","1367814638839107585",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","#VALORANTMasters     
#valorant
#??????
#VALORANTMasters????
#valorant??
#valorant????
??24?(?)Finals
mastersTOKYO?????????????
????PayPay????????
DM??????????",,,0.0,"1666741578243936259"
6/8/23 5:38 PM,"?? ?? ?","1189855705420812288",,"-1","ja","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @hinatazaka46: ????19:00?VALORANT JAPAN??YouTube?????????????VALORANT Masters Tokyo Countdown Events?? #???? ? #???? ???????????

??????…",,,322.0,"1666741575563747329"
6/8/23 5:38 PM,"???","306282307",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @omengomen: Riot??????????????
#VALORANT https://t.co/z69Ui8cTn9",,,1084.0,"1666741575299510272"
6/8/23 5:38 PM,"ray -??-","1407321372871696384",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @U_yuRiru0427: ?????????????????????????????????????????????

????? ??????????????????????Valorant???????????
https://t.co/sSEVT8HA12 ht…",,,191.0,"1666741572761948160"
6/8/23 5:38 PM,"Ben Mayo","1522642424291635201",,"-1","es","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @CintaNegraGC: ?? ES HORA DE UN SORTEO ??

En colaboración con @Mi_Jefita_ les traemos un sorteo del bundle Magepunk 3.0 de #VALORANT…",,,82.0,"1666741571406921730"
6/8/23 5:38 PM,"??","1187736479642128390",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @hinatazaka46: ????19:00?VALORANT JAPAN??YouTube?????????????VALORANT Masters Tokyo Countdown Events?? #???? ? #???? ???????????

??????…",,,322.0,"1666741571302334466"
